,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
34,0.0615080992380778,0.0049657472189173855,0.020610570907592773,0.004483774017997082,,entropy,9,sqrt,0.05,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6312849162011173,0.6343042071197411,0.6276276276276276,0.631072250316162,0.0027298471889583378,88
54,0.0531915028889974,0.007388983325437976,0.02314933141072591,0.0022710893721125435,,gini,6,sqrt,0.005,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6454545454545455,0.6410256410256411,0.6064356435643564,0.630971943348181,0.01744374393913904,91
70,0.05838362375895182,0.011091531607662129,0.017824649810791016,0.0024495144541997766,,gini,9,sqrt,0.05,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6312849162011173,0.632258064516129,0.6276276276276276,0.6303902027816246,0.0019934259491076844,92
172,0.11794877052307129,0.007479954930203744,0.018733660380045574,0.0011127517315716,"{0: 1, 1: 2}",entropy,9,,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6390243902439025,0.6320987654320988,0.6190476190476191,0.6300569249078735,0.008282297644250695,93
212,0.06627885500590007,0.0069795134557572094,0.020171085993448894,0.0015927519862404377,"{0: 1, 1: 2}",gini,9,sqrt,0.01,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.6098654708520179,0.6470588235294118,0.6322751322751323,0.629733142218854,0.015290141833458443,94
176,0.06050610542297363,0.0026325211806298866,0.018708308537801106,0.002878502592202462,"{0: 1, 1: 2}",entropy,9,sqrt,0.01,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.6098654708520179,0.6299212598425197,0.6337662337662338,0.6245176548202571,0.010478893942837497,95
174,0.057247002919514976,0.0077389596791720815,0.02194102605183919,0.0021558229482415447,"{0: 1, 1: 2}",entropy,9,sqrt,0.005,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6295399515738499,0.6412429378531074,0.5725806451612904,0.6144545115294159,0.02999228217864108,96
56,0.05110971132914225,0.003540840692389696,0.020946582158406574,0.0028195680771025506,,gini,6,sqrt,0.01,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.648936170212766,0.5933503836317136,0.5922330097087378,0.6115065211844058,0.02647068946225371,97
208,0.11711343129475911,0.003023303079650766,0.02063783009847005,0.0012135171906486897,"{0: 1, 1: 2}",gini,9,,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6201716738197425,0.6235011990407674,0.5853658536585366,0.6096795755063488,0.01724604760747512,98
198,0.0482321580251058,0.0017110241437415994,0.01795204480489095,0.002443764789829234,"{0: 1, 1: 2}",gini,6,sqrt,0.005,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6342710997442456,0.6296296296296297,0.5643776824034334,0.6094261372591029,0.03191037735981493,99
162,0.05928579966227213,0.008692800412867307,0.01692334810892741,0.001852630668461523,"{0: 1, 1: 2}",entropy,6,sqrt,0.005,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6342710997442456,0.6296296296296297,0.5643776824034334,0.6094261372591029,0.03191037735981493,99
215,0.05544265111287435,0.009417808869393656,0.015937407811482746,0.0008513081465332447,"{0: 1, 1: 2}",gini,9,sqrt,0.05,best,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.6457286432160804,0.6370967741935484,0.5449330783938815,0.6092528319345034,0.04561725048232153,101
20,0.06441791852315266,0.006567595303213966,0.02127687136332194,0.00047058377363154354,,entropy,6,sqrt,0.01,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.6396396396396397,0.5948717948717949,0.5922330097087378,0.6089148147400575,0.021752424318784675,102
160,0.10733882586161296,0.0020735739982990675,0.0195310115814209,0.002535556655740877,"{0: 1, 1: 2}",entropy,6,,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.5641891891891891,0.635,0.6271186440677966,0.6087692777523287,0.031686665597750914,103
210,0.0581357479095459,0.005036587782863252,0.01962431271870931,0.002858291105418628,"{0: 1, 1: 2}",gini,9,sqrt,0.005,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.614190687361419,0.6389684813753582,0.5725806451612904,0.6085799379660225,0.027391562945305273,104
196,0.09551604588826497,0.0018436874893085968,0.017719268798828125,0.001282134623381208,"{0: 1, 1: 2}",gini,6,,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.5641891891891891,0.6320987654320988,0.6253041362530414,0.6071973636247764,0.030537616667880855,105
203,0.0589604377746582,0.0026578412440961046,0.023430903752644856,0.005315528817545016,"{0: 1, 1: 2}",gini,6,sqrt,0.05,best,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.6457286432160804,0.6404494382022472,0.5350553505535055,0.6070778106572777,0.05097315352839579,106
200,0.05323521296183268,0.004359989902843307,0.018590132395426433,0.0009308610698798205,"{0: 1, 1: 2}",gini,6,sqrt,0.01,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.6045454545454545,0.5950617283950618,0.5922330097087378,0.5972800642164181,0.00526560125256569,107
164,0.056187709172566734,0.004419027575531635,0.020332495371500652,0.0019927137739738977,"{0: 1, 1: 2}",entropy,6,sqrt,0.01,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.6045454545454545,0.5950617283950618,0.5922330097087378,0.5972800642164181,0.00526560125256569,107
158,0.12593603134155273,0.011789060753732086,0.019289255142211914,0.0024848922307819914,"{0: 1, 1: 2}",entropy,6,,0.01,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.5806451612903226,0.6253101736972705,0.564870259481038,0.5902751981562103,0.025596861984042162,109
163,0.052157084147135414,0.0021140737529840616,0.01837770144144694,0.0012256760886172433,"{0: 1, 1: 2}",entropy,6,sqrt,0.005,best,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6578947368421053,0.5598526703499079,0.5482625482625483,0.5886699851515205,0.04917745023529462,110
167,0.05890885988871256,0.006993606851857878,0.018158594767252605,0.0012713767894763659,"{0: 1, 1: 2}",entropy,6,sqrt,0.05,best,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.6577540106951871,0.5557586837294333,0.5482625482625483,0.5872584142290562,0.04994176510411,111
175,0.06759150822957356,0.004636426674038431,0.020794391632080078,0.0015719216392617462,"{0: 1, 1: 2}",entropy,9,sqrt,0.005,best,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6258992805755396,0.5987394957983193,0.5303571428571429,0.5849986397436672,0.040196876858667116,112
